record_id,month
1356,2025-11
1362,2024-09
1362,2024-10
1362,2024-11
1362,2024-12
1362,2025-01
1362,2025-02
1362,2025-08
1362,2025-09
1362,2025-10
1366,2025-09
1366,2025-10
1366,2025-11
1369,2025-08
1369,2025-09
1369,2025-10
1376,2025-01
1376,2025-03
1376,2025-09
1376,2025-10
1376,2025-11
1377,2025-09
1377,2025-10
1377,2025-11
1383,2024-10
1383,2025-02
1383,2025-09
1383,2025-10
1383,2025-11
1386,2025-07
1386,2025-08
1386,2025-09
1388,2025-07
1388,2025-08
1388,2025-09
1390,2025-09
1390,2025-10
1390,2025-11
1393,2024-11
1393,2024-12
1393,2025-01
1393,2025-02
1393,2025-03
1393,2025-09
1393,2025-10
1393,2025-11
1394,2024-11
1394,2024-12
1394,2025-01
1394,2025-02
1394,2025-03
1394,2025-09
1394,2025-10
1394,2025-11
1395,2024-11
1395,2024-12
1395,2025-01
1395,2025-02
1395,2025-03
1395,2025-04
1395,2025-10
1395,2025-11
1395,2025-12
1398,2024-10
1398,2024-11
1398,2024-12
1398,2025-01
1398,2025-02
1398,2025-03
1398,2025-09
1398,2025-10
1398,2025-11
1403,2024-11
1403,2025-03
1403,2025-09
1403,2025-10
1403,2025-11
1407,2024-09
1407,2024-11
1407,2025-08
1407,2025-09
1407,2025-10
1409,2025-09
1409,2025-10
1409,2025-11
1428,2025-09
1428,2025-10
1428,2025-11
1434,2024-11
1434,2025-02
1434,2025-03
1434,2025-09
1434,2025-10
1434,2025-11
1440,2025-09
1440,2025-10
1440,2025-11
1442,2025-09
1442,2025-10
1442,2025-11
1443,2024-10
1443,2024-11
1443,2025-01
1443,2025-02
1443,2025-03
1443,2025-09
1443,2025-10
1443,2025-11
1444,2025-10
1444,2025-11
1444,2025-12
1448,2025-09
1448,2025-10
1448,2025-11
1453,2025-08
1453,2025-09
1453,2025-10
1456,2025-09
1456,2025-10
1457,2025-09
1457,2025-10
1457,2025-11
1462,2025-09
1462,2025-10
1462,2025-11
1463,2024-12
1463,2025-01
1463,2025-02
1463,2025-03
1463,2025-05
1463,2025-09
1463,2025-10
1463,2025-11
1468,2025-09
1468,2025-10
1468,2025-11
1473,2025-09
1473,2025-10
1473,2025-11
1474,2025-09
1474,2025-10
1474,2025-11
