record_id,screen_time_y1_arm_1_screen_time_1_complete,screen_time_y1_arm_1_screen_time_2_complete,screen_time_y1_arm_1_screen_time_3_complete,screen_time_y1_arm_1_screen_time_4_complete,screen_time_y1_arm_1_screen_time_5_complete,screen_time_y1_arm_1_screen_time_6_complete,screen_time_2_y1_arm_1_screen_time_1_2_complete,screen_time_2_y1_arm_1_screen_time_2_2_complete,screen_time_2_y1_arm_1_screen_time_3_2_complete
1093,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1106,0.0,0.0,0.0,0.0,0.0,0.0,,,
1107,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1109,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
1110,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1122,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1129,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1135,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1139,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1141,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1146,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1147,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1165,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1171,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1172,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1180,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1184,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1199,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1201,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1203,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1205,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1210,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
1211,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1224,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1247,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1253,0.0,0.0,0.0,0.0,0.0,0.0,,,
1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1264,0.0,0.0,0.0,0.0,0.0,0.0,,,
1278,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1282,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1292,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1325,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1327,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1328,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1355,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1356,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1366,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
